eta	 eta	 pt   pt     	deff  derr  mceff mcerr nlo   tag   sys3  sys4
-2.500  -2.000   10.0 20.0 	0.000 0.000 0.000 0.000 0.000 0.000 0 	  0
-2.000  -1.566   10.0 20.0 	0.000 0.000 0.001 0.000 0.002 0.000 0.001 0
-1.566  -1.4442  10.0 20.0 	0.005 0.000 0.004 0.000 0.000 0.000 0.004 0.005
-1.4442 -0.800   10.0 20.0 	0.000 0.000 0.000 0.000 0.001 0.000 0.001 0
-0.800   0.000   10.0 20.0 	0.000 0.000 0.000 0.000 0.001 0.000 0.001 0
0.000    0.800   10.0 20.0 	0.001 0.000 0.000 0.000 0.000 0.000 0     0.001
0.800    1.4442  10.0 20.0 	0.000 0.000 0.000 0.000 0.000 0.001 0     0.001
1.4442   1.566   10.0 20.0 	0.005 0.000 0.004 0.000 0.000 0.006 0.004 0.001
1.566    2.000   10.0 20.0 	0.002 0.000 0.001 0.000 0.000 0.002 0.001 0
2.000    2.500   10.0 20.0 	0.001 0.000 0.000 0.000 0.000 0.000 0     0.001
-2.500  -2.000   20.0 30.0 	0.498 0.000 0.652 0.000 0.653 0.495 0.001 0.003
-2.000  -1.566   20.0 30.0 	0.486 0.000 0.550 0.000 0.569 0.474 0.019 0.012
-1.566  -1.4442  20.0 30.0 	0.336 0.001 0.383 0.000 0.396 0.336 0.013 0
-1.4442 -0.800   20.0 30.0 	0.496 0.000 0.528 0.000 0.534 0.492 0.006 0.004
-0.800   0.000   20.0 30.0 	0.624 0.000 0.671 0.000 0.676 0.615 0.005 0.009
0.000    0.800   20.0 30.0 	0.633 0.000 0.681 0.000 0.683 0.621 0.002 0.012
0.800    1.4442  20.0 30.0 	0.505 0.000 0.543 0.000 0.544 0.499 0.001 0.006
1.4442   1.566   20.0 30.0 	0.313 0.001 0.373 0.000 0.371 0.314 0.002 0.001
1.566    2.000   20.0 30.0 	0.473 0.000 0.553 0.000 0.558 0.455 0.005 0.018
2.000    2.500   20.0 30.0 	0.492 0.000 0.658 0.000 0.657 0.474 0.001 0.018
-2.500  -2.000   30.0 40.0 	0.826 0.000 0.882 0.000 0.883 0.826 0.001 0
-2.000  -1.566   30.0 40.0 	0.837 0.000 0.866 0.000 0.867 0.835 0.001 0.002
-1.566  -1.4442  30.0 40.0 	0.782 0.000 0.804 0.000 0.809 0.778 0.005 0.004
-1.4442 -0.800   30.0 40.0 	0.860 0.000 0.882 0.000 0.881 0.860 0.001 0
-0.800   0.000   30.0 40.0 	0.888 0.000 0.910 0.000 0.908 0.889 0.002 0.001
0.000    0.800   30.0 40.0 	0.898 0.000 0.912 0.000 0.914 0.898 0.002 0
0.800    1.4442  30.0 40.0 	0.873 0.000 0.887 0.000 0.886 0.873 0.001 0
1.4442   1.566   30.0 40.0 	0.782 0.000 0.797 0.000 0.802 0.782 0.005 0
1.566    2.000   30.0 40.0 	0.835 0.000 0.869 0.000 0.864 0.835 0.005 0
2.000    2.500   30.0 40.0 	0.829 0.000 0.885 0.000 0.882 0.831 0.003 0.002
-2.500  -2.000   40.0 50.0 	0.858 0.000 0.902 0.000 0.908 0.858 0.006 0
-2.000  -1.566   40.0 50.0 	0.852 0.000 0.884 0.000 0.885 0.853 0.001 0.001
-1.566  -1.4442  40.0 50.0 	0.843 0.000 0.859 0.000 0.851 0.843 0.008 0
-1.4442 -0.800   40.0 50.0 	0.916 0.000 0.931 0.000 0.930 0.916 0.001 0
-0.800   0.000   40.0 50.0 	0.927 0.000 0.947 0.000 0.947 0.927 0     0
0.000    0.800   40.0 50.0 	0.935 0.000 0.949 0.000 0.949 0.935 0     0
0.800    1.4442  40.0 50.0 	0.923 0.000 0.935 0.000 0.934 0.922 0.001 0.001
1.4442   1.566   40.0 50.0 	0.832 0.000 0.850 0.000 0.860 0.837 0.01  0.005
1.566    2.000   40.0 50.0 	0.859 0.000 0.888 0.000 0.882 0.860 0.006 0.001
2.000    2.500   40.0 50.0 	0.863 0.000 0.906 0.000 0.904 0.863 0.002 0
-2.500  -2.000   50.0 2000.0    0.871 0.000 0.914 0.000 0.900 0.869 0.014 0.002
-2.000  -1.566   50.0 2000.0   	0.863 0.000 0.895 0.000 0.894 0.866 0.001 0.003
-1.566  -1.4442  50.0 2000.0   	0.860 0.001 0.873 0.000 0.867 0.863 0.006 0.003
-1.4442 -0.800   50.0 2000.0   	0.940 0.000 0.958 0.000 0.957 0.941 0.001 0.001
-0.800   0.000   50.0 2000.0   	0.944 0.000 0.965 0.000 0.965 0.943 0     0.001
0.000    0.800   50.0 2000.0   	0.954 0.000 0.967 0.000 0.966 0.952 0.001 0.002
0.800    1.4442  50.0 2000.0   	0.949 0.000 0.959 0.000 0.957 0.950 0.002 0.001
1.4442   1.566   50.0 2000.0   	0.867 0.001 0.869 0.000 0.875 0.865 0.006 0.002
1.566    2.000   50.0 2000.0   	0.868 0.000 0.898 0.000 0.897 0.869 0.001 0.001
2.000    2.500   50.0 2000.0   	0.879 0.000 0.917 0.000 0.917 0.880 0     0.001
